id,rsex,typeschl,sclotbul,stfbuljb,gotostaf,schlbul,ubullsch,oftenbul,ubulloth,oftenub
799.0,Male,Secondary,A little,Yes,It depends,Yes,No,,No,
800.0,Female,Grammar,A little,Yes,It depends,Yes,No,,No,
801.0,Male,Grammar,A little,Don't know,,Don't know,No,,No,
802.0,Male,Planned Integrated,A little,Yes,Would not talk to them,Don't know,Yes,Not at all,No,
803.0,Male,Secondary,Don't know,Don't know,,Don't know,No,,No,
804.0,Male,Secondary,A little,Yes,It depends,Yes,No,,No,
805.0,Female,Secondary,A little,Don't know,,Yes,No,,No,
806.0,Female,Grammar,A little,Yes,It depends,Yes,No,,No,
807.0,Female,Secondary,A little,Yes,It depends,Yes,Yes,Not at all,No,
808.0,Female,Grammar,A little,Don't know,,Don't know,Yes,Not at all,No,
809.0,Female,Grammar,A little,Yes,It depends,Yes,Yes,Not at all,No,
810.0,Male,Grammar,A little,No,,Yes,No,,Yes,Not at all 
811.0,Female,Grammar,A little,Yes,Would talk to them,Yes,Yes,Not at all,Yes,Not at all 
812.0,Male,Grammar,Not at all,Yes,Don't know,Yes,No,,No,
813.0,Male,Grammar,A little,Yes,It depends,Don't know,No,,No,
814.0,Female,Secondary,A little,Yes,Would not talk to them,No,No,,No,
815.0,Male,Grammar,A little,No,,Yes,No,,No,
816.0,Female,Secondary,Don't know,Don't know,,Yes,No,,No,
817.0,Male,Grammar,A little,Don't know,,No,No,,No,
818.0,Female,Grammar,A little,Yes,It depends,Yes,No,,No,
819.0,Male,Secondary,Not at all,Yes,Would not talk to them,No,No,,No,
